Date,AM,PM
9052020,Nil,Nil
8052020,Nil,Nil
7052020,Nil,Nil
6052020,Nil,Nil
5052020,Nil,Nil
4052020,Nil,Nil
3052020,36.0°C,36.5°C
2052020,36.2°C,36.6°C
1052020,35.6°C,36.7°C
30042020,Nil,Nil
29042020,Nil,Nil
28042020,Nil,Nil
27042020,Nil,Nil
26042020,Nil,Nil
25042020,Nil,Nil
24042020,Nil,Nil
23042020,Nil,Nil
22042020,Nil,Nil
21042020,Nil,Nil
20042020,Nil,Nil
19042020,Nil,Nil
18042020,Nil,Nil
17042020,Nil,Nil
16042020,Nil,Nil
15042020,Nil,Nil
14042020,Nil,Nil
13042020,36.2°C,36.6°C
12042020,Nil,Nil
11042020,35.9°C,37.0°C
10042020,36.5°C,36.9°C
9042020,36.4°C,Nil
8042020,Nil,Nil
7042020,36.4°C,36.3°C
6042020,36.8°C,Nil
5042020,Nil,Nil
4042020,Nil,Nil
3042020,36.9°C,36.5°C
2042020,36.8°C,Nil
1042020,36.5°C,Nil
31032020,Nil,Nil
30032020,36.4°C,Nil
29032020,Nil,Nil
28032020,Nil,Nil
27032020,Nil,Nil
26032020,Nil,Nil
25032020,Nil,Nil
24032020,36.6°C,Nil
23032020,36.9°C,Nil
22032020,Nil,Nil
21032020,Nil,Nil
20032020,Nil,Nil
19032020,Nil,Nil
18032020,Nil,Nil
17032020,36.4°C,Nil
16032020,Nil,36.9°C
15032020,Nil,Nil
14032020,Nil,Nil
13032020,Nil,Nil
12032020,36.8°C,36.5°C
11032020,36.5°C,36.8°C
10032020,36.7°C,36.8°C
9032020,36.8°C,36.9°C
8032020,36.9°C,36.9°C
7032020,36.7°C,36.7°C
6032020,36.1°C,Nil
5032020,36.6°C,36.7°C
4032020,36.5°C,Nil
3032020,36.3°C,36.7°C
2032020,36.5°C,37.2°C
1032020,36.5°C,37.1°C
